商品名称,价格,厂商指导价,评分,评价数量,咨询数量,商品图片,专区,分类,国别,商品链接,商品编号,商品规格,主要原料,营养成分,适用对象,颗粒大小,口味配方,出厂保质期,重量,市场价
森森HJ-1843潜水喷泉泵 鱼池喷泉 40W,,,5.0,2,0,//img-new.boqiicdn.com/Data/Shop/0/79/7932/shoppicpath11563258205_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,潜水泵,https://shop.boqii.com/product-7932.html,35268189,,,,,,,,1.54KG,￥93.0
森森 HJ-1141多功能小潜水泵22W,,,5.0,1,0,//img-new.boqiicdn.com/Data/Shop/0/79/7933/shoppicpath11561615330_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,潜水泵,https://shop.boqii.com/product-7933.html,35268190,,,,,,,,0.51KG,￥35.1
森森 鱼缸加热棒防爆 加热棒 鱼缸 热带鱼加热棒,,,4.5,66,1,//img-new.boqiicdn.com/Data/Shop/0/79/7935/shoppicpath11561615374_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,温控设备,https://shop.boqii.com/product-7935.html,35268192,,,,,,,,0.37KG,￥25.9
仿真草皮底部专用吸盘 建议一张草皮使用4个吸盘,,,4.6,12,0,//img-new.boqiicdn.com/Data/Shop/0/79/7948/shoppicpath11563349132_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,造景,仿真水草,https://shop.boqii.com/product-7948.html,3534102,,,,,,,,0.10KG,￥0.1
莎美特 环保豆腐渣型猫砂 (6L) 约2.7kg  日本进口 可冲马桶,¥65.00,¥78.00,4.8,46,0,//img-new.boqiicdn.com/Data/Shop/0/80/8023/shoppicpath11577081183_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫砂猫厕,纸砂豆腐砂,https://shop.boqii.com/product-8023.html,2134601,6L,,,猫猫,,,,2.77KG,￥78.0
莎美特 遇湿变色环保纸猫砂（7L）约3.23kg  日本进口,¥58.00,¥63.80,4.9,82,0,//img-new.boqiicdn.com/Data/Shop/0/80/8024/shoppicpath11561038221_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫砂猫厕,纸砂豆腐砂,https://shop.boqii.com/product-8024.html,2134602,7L，约3.23kg,,,猫咪,,,,2.11KG,￥63.8
莎美特Sanmate 环保纸猫砂 (7L) 约3.23kg 质地柔软无粉尘 日本进口,¥58.00,¥63.80,4.7,33,0,//img-new.boqiicdn.com/Data/Shop/0/80/8025/shoppicpath11547458369_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫砂猫厕,纸砂豆腐砂,https://shop.boqii.com/product-8025.html,2134603,约2.05kg,,,猫咪,,,,2.06KG,￥63.8
莎美特Sanmate 吸水耐用型膨润土猫砂(10L) 7.5kg,¥26.00,¥33.80,5.0,10449,4,//img-new.boqiicdn.com/Data/Shop/0/80/8026/shoppicpath11562817339_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫砂猫厕,膨润土猫砂,https://shop.boqii.com/product-8026.html,2134604,7.5kg（10L）,,,猫,,,,7.55KG,￥33.8
carno 仓鼠用品 仓鼠水樽架套装含饮水器和支架,,,4.7,11,2,//img-new.boqiicdn.com/Data/Shop/0/80/8075/shoppicpath11567766480_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,仓鼠,器具,https://shop.boqii.com/product-8075.html,3435006,,,,,,,,0.09KG,￥15.5
carno  健康脚踏板踏脚板 脚垫,¥14.90,¥17.88,4.8,14,0,//img-new.boqiicdn.com/Data/Shop/0/80/8078/shoppicpath21381480434_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,兔子,用具,https://shop.boqii.com/product-8078.html,3435009,,,,,,,,0.15KG,￥17.9
carno 松鼠龙猫貂兔子加厚知毛绒秋千吊床,¥7.90,¥9.10,4.8,26,0,//img-new.boqiicdn.com/Data/Shop/0/80/8080/shoppicpath11447384638_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,龙猫,用具,https://shop.boqii.com/product-8080.html,3435011,,,,,,,,0.11KG,￥9.1
诺瑞好之味 成猫粮海鲜味低盐猫粮500g 独立包装,,,4.7,238,0,//img-new.boqiicdn.com/Data/Shop/0/80/8083/shoppicpath11517381414_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-8083.html,130409,0.5KG,猪肉、玉米、鸡肉、小麦、玉米蛋白粉、鸡油、啤酒酵母粉、牛磺酸、复,粗蛋白质≥36%，粗脂肪≥16%，水分≤12%，粗灰分≤8.5%,成猫,适中,海鲜,18个月,0.52KG,￥13.2
法国皇家 小型犬成犬绝育处方粮 1.5kg 绝育手术后适用,¥131.00,¥144.10,0.0,0,0,//img-new.boqiicdn.com/Data/Shop/0/80/8085/shoppicpath11574825575_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,处方粮,https://shop.boqii.com/product-8085.html,1001502,1.5kg,,,小型犬成犬,标注颗粒,混合口味,18个月,1.50KG,￥144.1
法国皇家 成犬减肥处方粮 1.5kg 高纤维高蛋白 拒绝肥胖,¥178.00,¥195.80,4.5,2,0,//img-new.boqiicdn.com/Data/Shop/0/80/8086/shoppicpath11574826125_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,处方粮,https://shop.boqii.com/product-8086.html,1001503,1.5kg,,,成猫,标注颗粒,混合口味,18个月,1.50KG,￥195.8
法国皇家 成犬减肥处方粮 6kg 高纤维高蛋白 拒绝肥胖,¥579.00,¥636.90,0.0,0,0,//img-new.boqiicdn.com/Data/Shop/0/80/8087/shoppicpath11574826594_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,处方粮,https://shop.boqii.com/product-8087.html,1001504,6kg,,,成犬,标注颗粒,混合口味,18个月,6.00KG,￥636.9
法国皇家 成犬肝脏处方粮 1.5kg HF16 肝脏疾病适用,,,5.0,1,0,//img-new.boqiicdn.com/Data/Shop/0/80/8088/shoppicpath11574826936_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,处方粮,https://shop.boqii.com/product-8088.html,1001505,1.5kg,,,成犬,标注颗粒,混合口味,18个月,1.50KG,￥208.8
法国皇家（ROYAL CANIN）宠物狗肥胖症处方狗粮 控制体重减肥II期 1.5kg,,,0.0,0,0,//img-new.boqiicdn.com/Data/Shop/0/80/8090/shoppicpath11380530028_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,处方粮,https://shop.boqii.com/product-8090.html,1001507,,,,,,,,1.50KG,￥204.0
法国皇家 绝育公猫粮处方粮 1.5kg 绝育猫适用,¥161.00,¥177.10,5.0,1,1,//img-new.boqiicdn.com/Data/Shop/0/80/8092/shoppicpath11574833436_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,处方粮,https://shop.boqii.com/product-8092.html,1001509,1.5kg,,,绝育公猫,标注颗粒,混合口味,18个月,1.50KG,￥177.1
法国皇家 成猫肠道处方粮 1.5kg GI32 胃肠道紊乱适用,¥209.00,¥229.90,4.6,5,0,//img-new.boqiicdn.com/Data/Shop/0/80/8093/shoppicpath11574834127_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-8093.html,1001510,2kg,,,成猫,标注颗粒,混合口味,18个月,2.00KG,￥229.9
伟嘉 吞拿鱼及三文鱼味成猫粮 3.6kg,¥106.00,¥116.60,4.9,1640,0,//img-new.boqiicdn.com/Data/Shop/0/81/8118/shoppicpath11582097701_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-8118.html,132149,3.6KG,谷物（小麦/玉米/小麦）、肉类（鸡肉粉/牛骨粉）、玉米蛋白粉、动,,成猫,适中,吞拿鱼味及三文鱼味,18个月,3.67KG,￥116.6
伟嘉 海洋鱼味低盐清淡成猫粮 3.6kg,¥106.00,¥116.60,5.0,854,0,//img-new.boqiicdn.com/Data/Shop/0/81/8119/shoppicpath11582098060_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-8119.html,132150,3.6kg,谷物、肉类/肉粉、玉米蛋白粉,粗蛋白质≥27%、粗脂肪≥10%、钙≥1.8%,成猫,标准粒,鱼肉,18个月,3.67KG,￥116.6
宝路Pedigree 牛肉蔬菜口味幼犬粮 4kg,¥105.80,¥139.44,4.5,641,3,//img-new.boqiicdn.com/Data/Shop/0/81/8120/shoppicpath11604199770_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-8120.html,101850,4kg,谷物、肉粉、蛋白粉,粗蛋白质≥26%、粗脂肪≥11%、钙≥1.1%,幼犬,标准粒,牛肉蔬菜,18个月,4.07KG,￥139.4
宝路Pedigree 牛肉蔬菜口味大型犬成犬粮 7.5kg,¥169.50,¥213.12,4.8,438,1,//img-new.boqiicdn.com/Data/Shop/0/81/8121/shoppicpath11595925447_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-8121.html,101851,7.5kg,原粒谷物、精选肉类及肉粉、玉米蛋白份、牛奶精华、维生素、矿物质等,粗蛋白≥20%、粗脂肪≥11%、钙≥0.8%、总磷≥0.5%,大型成犬,适中颗粒,牛肉鸡肉谷物,18个月,7.69KG,￥213.1
宝路Pedigree 牛肉蔬菜口味中小型犬成犬粮 4kg,¥99.80,¥125.52,4.7,652,0,//img-new.boqiicdn.com/Data/Shop/0/81/8122/shoppicpath11595925550_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-8122.html,101852,2.6kg,谷物、肉粉、蛋白粉,粗蛋白质≥23%、粗脂肪≥11%、钙≥0.8%,中小型成犬,标准粒,牛肉,18个月,4.07KG,￥125.5
宝路Pedigree 牛肉肝蔬菜中小型成犬粮 7.5kg,¥169.50,¥213.12,4.9,703,5,//img-new.boqiicdn.com/Data/Shop/0/81/8123/shoppicpath11595925688_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-8123.html,101853,7.5kg,原粒谷物、精选肉类及肉粉、玉米蛋白份、牛奶精华、维生素、矿物质等,粗蛋白≥23%、粗脂肪≥11%、钙≥0.8%、总磷≥0.5%,中小型成犬,适中颗粒,牛肉肝蔬菜谷物,18个月,7.68KG,￥213.1
宝路Pedigree 海洋鱼口味中小型犬成犬粮 1.8kg,¥48.00,¥60.36,5.0,580,0,//img-new.boqiicdn.com/Data/Shop/0/81/8124/shoppicpath11583824310_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-8124.html,101854,1.8kg,原粒谷物、 精选肉类及肉粉、 玉米蛋白粉,粗蛋白质≥23%，粗脂肪≥11%，钙≥0.8%，盐≤1.8%,中小型犬成犬,小颗粒,鸡肉,18个月,1.83KG,￥60.4
顽皮Wanpy 金枪鱼鲜封包猫湿粮 80g,¥4.50,¥5.40,4.9,128,0,//img-new.boqiicdn.com/Data/Shop/0/81/8137/shoppicpath11516948659_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-8137.html,1225202,80g,,,全猫,,金枪鱼,24个月,0.09KG,￥5.4
富力鲜 白身鲔鱼吻仔鱼猫罐头85g 原装进口 猫湿粮,¥9.80,¥11.76,5.0,91,0,//img-new.boqiicdn.com/Data/Shop/0/81/8138/shoppicpath11539741485_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-8138.html,1225203,85g,,,猫猫,,鱼肉,,0.10KG,￥11.8
富力鲜 白身鲔鱼猫罐头85g 原装进口 猫湿粮,¥9.80,¥11.76,4.9,77,0,//img-new.boqiicdn.com/Data/Shop/0/81/8139/shoppicpath11488178066_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-8139.html,1225204,85g,,,3个月以上猫咪,,白身鲔鱼,3年,0.09KG,￥11.8
富力鲜 白身鲔鱼鲑鱼猫罐头85g 原装进口 猫湿粮,¥9.80,¥11.76,4.9,216,0,//img-new.boqiicdn.com/Data/Shop/0/81/8140/shoppicpath11517541447_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-8140.html,1225205,85g,,,猫咪,,白身鲔鱼+鲑鱼。,36个月,0.10KG,￥11.8
美国铂钻Ever Clean 紫标清香除臭升级细粒猫砂 14磅(6.35kg) 原装进口,¥128.00,¥140.80,4.7,13,0,//img-new.boqiicdn.com/Data/Shop/0/82/8200/shoppicpath51607076015_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫砂猫厕,膨润土猫砂,https://shop.boqii.com/product-8200.html,2117720,14磅,,,猫,,,,6.66KG,￥140.8
美国铂钻Ever Clean 绿标清香低粉尘结块型猫砂 14磅(6.35kg) 适合低过敏性猫咪 原装进口,¥128.00,¥140.80,4.7,14,0,//img-new.boqiicdn.com/Data/Shop/0/82/8201/shoppicpath21607076127_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫砂猫厕,膨润土猫砂,https://shop.boqii.com/product-8201.html,2117721,约6.35kg,,,猫咪,,,,6.73KG,￥140.8
美国铂钻Ever Clean 双重活性炭低过敏粗砂猫砂(白标) 25磅（11.3kg）原装进口,¥188.00,¥206.80,5.0,316,0,//img-new.boqiicdn.com/Data/Shop/0/82/8202/shoppicpath21607076242_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫砂猫厕,膨润土猫砂,https://shop.boqii.com/product-8202.html,2117722,25磅，约11.3kg,,,猫,,,,12.00KG,￥206.8
美国铂钻Ever Clean 红标清香低过敏猫砂 25磅（11.3kg）适合多猫家庭 原装进口,¥188.00,¥206.80,4.9,204,0,//img-new.boqiicdn.com/Data/Shop/0/82/8203/shoppicpath11607076321_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫砂猫厕,膨润土猫砂,https://shop.boqii.com/product-8203.html,2117723,25磅,,,猫猫,,,,12.01KG,￥206.8
美国铂钻Ever Clean 紫标清香除臭升级细粒猫砂 25磅 (11.3kg) 原装进口,¥188.00,¥206.80,5.0,235,0,//img-new.boqiicdn.com/Data/Shop/0/82/8204/shoppicpath21607076410_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫砂猫厕,膨润土猫砂,https://shop.boqii.com/product-8204.html,2117724,25磅，约11.3kg,,,猫咪,,,,12.03KG,￥206.8
美国铂钻Ever Clean 绿标清香低粉尘猫砂 25磅（11.3kg）,¥188.00,¥206.80,4.9,177,0,//img-new.boqiicdn.com/Data/Shop/0/82/8205/shoppicpath11607076491_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫砂猫厕,膨润土猫砂,https://shop.boqii.com/product-8205.html,2117725,25磅,,,猫猫,,,,12.02KG,￥206.8
谷登 狗用羊奶粉200g  富含DHA益智因子,¥79.00,¥86.90,5.0,725,1,//img-new.boqiicdn.com/Data/Shop/0/82/8239/shoppicpath11555571042_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,营养保健,综合营养,https://shop.boqii.com/product-8239.html,1535306,,,,幼犬、成年犬,,,2年,0.27KG,￥86.9
谷登Golden 犬用调理肠胃益生菌5g*5袋 助消化促食欲,¥39.00,¥46.80,4.9,864,0,//img-new.boqiicdn.com/Data/Shop/0/82/8240/shoppicpath11540868724_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,营养保健,肠胃调理,https://shop.boqii.com/product-8240.html,1535307,,,,犬用,,,18个月,0.04KG,￥46.8
谷登 犬用高钙片200片  强健骨骼,¥42.00,¥50.40,4.9,1441,0,//img-new.boqiicdn.com/Data/Shop/0/82/8241/shoppicpath11555296915_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,营养保健,补钙健骨,https://shop.boqii.com/product-8241.html,1535308,,,,犬,,,2年,0.14KG,￥50.4
谷登 狗用微量元素片200片 改善异食癖,¥42.00,¥50.40,4.9,1883,5,//img-new.boqiicdn.com/Data/Shop/0/82/8242/shoppicpath11555297500_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,营养保健,综合营养,https://shop.boqii.com/product-8242.html,1535309,,,,犬,,,2年,0.14KG,￥50.4
宠精灵 羊毛猫睡袋猫窝猫垫子,¥43.30,¥56.29,4.8,35,0,//img-new.boqiicdn.com/Data/Shop/0/82/8252/shoppicpath11571209858_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,生活日用,猫咪住所,https://shop.boqii.com/product-8252.html,2534403,,,,,,,,0.40KG,￥56.3
宝丽 360°旋转钢丝刷 猫狗刷子,¥25.00,¥28.60,4.9,44,1,//img-new.boqiicdn.com/Data/Shop/0/83/8340/shoppicpath21570701842_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗美容,梳剪工具,https://shop.boqii.com/product-8340.html,1835501,小号,,,犬猫,,,,0.10KG,￥28.6
宝丽 360°旋转圆头钢丝刷 猫狗刷子,¥30.00,¥35.10,4.9,68,0,//img-new.boqiicdn.com/Data/Shop/0/83/8341/shoppicpath21383895499_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗美容,梳剪工具,https://shop.boqii.com/product-8341.html,1835502,大号,,,犬猫,,,,0.10KG,￥35.1
宝丽 木柄钢丝刷 专业拉毛造型梳 猫狗通用,¥20.00,¥25.00,5.0,103,0,//img-new.boqiicdn.com/Data/Shop/0/83/8342/shoppicpath21570701733_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗美容,梳剪工具,https://shop.boqii.com/product-8342.html,1835503,小号,,,犬猫,,,,0.08KG,￥25.0
宝丽 木柄圆头钢丝刷 家用美毛基础款 猫狗通用,¥20.00,¥25.00,4.8,62,0,//img-new.boqiicdn.com/Data/Shop/0/83/8343/shoppicpath11569827119_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗美容,梳剪工具,https://shop.boqii.com/product-8343.html,1835504,小号,,,犬猫,,,,0.09KG,￥25.0
宝丽 塑柄钢丝刷 专业拉毛造型梳 猫狗通用,¥20.00,¥25.00,4.9,62,0,//img-new.boqiicdn.com/Data/Shop/0/83/8344/shoppicpath21570701617_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗美容,梳剪工具,https://shop.boqii.com/product-8344.html,1835505,,,,,,,,0.23KG,￥25.0
宝丽 塑柄圆头钢丝刷 美毛按摩梳 猫狗通用,¥20.00,¥25.00,4.9,545,0,//img-new.boqiicdn.com/Data/Shop/0/83/8345/shoppicpath11547455456_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗美容,梳剪工具,https://shop.boqii.com/product-8345.html,1835506,中号,,,犬猫,,,,0.15KG,￥25.0
金盾 犬猫通用滴耳液 20ml 治疗耳螨外耳炎中耳炎,¥55.00,¥60.50,4.9,564,3,//img-new.boqiicdn.com/Data/Shop/0/84/8400/shoppicpath11559792352_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,综合护理,https://shop.boqii.com/product-8400.html,177710,,,,犬猫,,,2年,0.04KG,￥60.5
中恒 塑料宠物窝赠软棉垫睡觉洗澡两用 猫狗通用,,,4.7,162,13,//img-new.boqiicdn.com/Data/Shop/0/85/8573/shoppicpath11573118729_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,狗狗住所,https://shop.boqii.com/product-8573.html,2536008,,,,,,,,3.04KG,￥51.7
中恒 半圆防溢碗 猫狗通用,¥4.00,¥5.20,4.9,346,0,//img-new.boqiicdn.com/Data/Shop/0/85/8578/shoppicpath31569814749_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,狗狗餐具,https://shop.boqii.com/product-8578.html,2536012,M号底长20*上面17*侧面10cm；S号底长17*上面13*侧,,,狗狗,,,,0.15KG,￥5.2
中恒 宠物喂食器 犬猫通用,,,4.8,31,0,//img-new.boqiicdn.com/Data/Shop/0/85/8583/shoppicpath21569828630_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,狗狗餐具,https://shop.boqii.com/product-8583.html,2536017,1.5L :29*17*23cm；3.5L:35.5*21.5*,,,犬猫,,,,0.47KG,￥30.9
中恒 宠物自动喂水器 犬猫通用,,,4.6,61,0,//img-new.boqiicdn.com/Data/Shop/0/85/8584/shoppicpath11540458155_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,狗狗餐具,https://shop.boqii.com/product-8584.html,2536018,1.5L :29*17*23cm；3.5L:35.5*21*28,,,犬猫,,,,0.48KG,￥24.7
中恒 全封闭式圆顶豪华猫砂盆 减少异味,,,4.8,191,1,//img-new.boqiicdn.com/Data/Shop/0/85/8591/shoppicpath11560960201_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫砂猫厕,猫咪厕所,https://shop.boqii.com/product-8591.html,2536025,长41.5*宽49.5高40.5cm,,,猫,,,,1.14KG,￥72.8
中恒 训练响片  训狗用品,¥10.00,¥13.00,4.8,88,0,//img-new.boqiicdn.com/Data/Shop/0/85/8598/shoppicpath11561379586_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,训练用品,https://shop.boqii.com/product-8598.html,2536032,,,,全犬,,,,0.05KG,￥13.0
中恒 宠物防抓舔咬美容罩头套 伊丽莎白圈 猫狗围脖,¥12.00,¥18.00,4.7,238,2,//img-new.boqiicdn.com/Data/Shop/0/85/8599/shoppicpath11540886873_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,综合护理,https://shop.boqii.com/product-8599.html,2536033,,,,犬猫通用,,,,0.33KG,￥18.0
中恒 宠物滚动粘毛器 60片,,,4.7,107,0,//img-new.boqiicdn.com/Data/Shop/0/86/8601/shoppicpath11388477881_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,排便清洁,https://shop.boqii.com/product-8601.html,2536035,60片,,,猫狗,,,,0.19KG,￥13.9
中恒 猫砂袋 6片装 清洁猫砂盆专用垃圾袋,,,4.9,28,0,//img-new.boqiicdn.com/Data/Shop/0/86/8602/shoppicpath11540456256_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫砂猫厕,排便清洁,https://shop.boqii.com/product-8602.html,2536036,单个,,,猫咪,,,,0.14KG,￥15.4
中恒 混合装拾便袋4卷（颜色随机发货）,,,4.9,131,1,//img-new.boqiicdn.com/Data/Shop/0/86/8605/shoppicpath21586758888_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,排便清洁,https://shop.boqii.com/product-8605.html,2536039,4卷,,,全犬猫,,,,0.14KG,￥8.7
中恒 竹炭宠物尿片整包 猫狗兔等通用,,,4.8,268,0,//img-new.boqiicdn.com/Data/Shop/0/86/8636/shoppicpath11540893085_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,排便清洁,https://shop.boqii.com/product-8636.html,2536050,S,,,狗狗,,,,1.57KG,￥50.7
中恒 竹炭吸臭宠物尿片 单片,,,4.9,103,0,//img-new.boqiicdn.com/Data/Shop/0/86/8637/shoppicpath11540456018_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,排便清洁,https://shop.boqii.com/product-8637.html,2536051,中号60*45cm 小号33*45cm,,,狗狗,,,,0.02KG,￥2.0
怡亲Yoken 狗尿片 强力吸水,,,4.8,5462,4,//img-new.boqiicdn.com/Data/Shop/0/86/8638/shoppicpath11540893008_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,排便清洁,https://shop.boqii.com/product-8638.html,2536052,XS、S、M、L、XL,,,犬猫通用,,,,1.50KG,￥31.9
森森303B 303A过滤桶 原厂原装过滤棉(两片装）,,,4.9,8,0,//img-new.boqiicdn.com/Data/Shop/0/86/8643/shoppicpath11563258071_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,滤材,https://shop.boqii.com/product-8643.html,35268121,,,,,,,,0.05KG,￥7.7
怡亲Yoken 瓦楞纸玩具字母型猫抓板-拱桥型  多造型可选,¥16.90,¥18.60,4.9,624,0,//img-new.boqiicdn.com/Data/Shop/0/86/8689/shoppicpath11540532856_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪玩具,猫抓板,https://shop.boqii.com/product-8689.html,22457780,长42.5cm; 宽24cm; 厚 5cm,,,猫,,,,0.37KG,￥18.6
怡亲 字母型猫抓板 两款可选,,,4.7,708,0,//img-new.boqiicdn.com/Data/Shop/0/86/8690/shoppicpath11540898732_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪玩具,猫抓板,https://shop.boqii.com/product-8690.html,22457781,S型:长43.5*宽23.5*高6.8cm; M型长43.5*宽,,,猫,,,,0.35KG,￥19.0
法国维克Virbac 犬猫眼净洗眼水 125ml 舒缓滋润去泪痕 法国进口,¥124.00,¥136.40,5.0,942,0,//img-new.boqiicdn.com/Data/Shop/0/87/8766/shoppicpath11540884908_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,综合护理,https://shop.boqii.com/product-8766.html,1756101,,,,犬猫,,,2年,0.15KG,￥136.4
拜有利 风味片单粒装15mg S 单片/非原装,,,4.8,43,0,//img-new.boqiicdn.com/Data/Shop/0/88/8800/shoppicpath11529909438_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,体内病菌感染,https://shop.boqii.com/product-8800.html,178016,,,,,,,,0.01KG,￥21.6
拜有利 风味片单粒装50mg M 单片/非原装,,,4.6,111,3,//img-new.boqiicdn.com/Data/Shop/0/88/8801/shoppicpath11552040344_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,体内病菌感染,https://shop.boqii.com/product-8801.html,178017,,,,,,,,0.01KG,￥24.0
雪貂留香 貂油沐浴露500ML 狗香波抑菌止痒,¥58.00,¥63.80,4.9,1066,0,//img-new.boqiicdn.com/Data/Shop/0/88/8821/shoppicpath11587976168_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗美容,洗护香波,https://shop.boqii.com/product-8821.html,1636707,500ML,,,犬猫通用,,,,0.55KG,￥63.8
醇粹 中小型犬幼犬粮 10kg 55%肉含量,¥308.00,¥338.80,5.0,281,3,//img-new.boqiicdn.com/Data/Shop/0/88/8841/shoppicpath11572504354_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-8841.html,103330,10kg,鸡肉粉、深海鱼肉、深海鱼油、鸡脂肪、糙米,粗蛋白≥30%，粗脂肪≥13.0%，粗纤维≤5%，粗灰分≤10.,小型犬幼犬,标准颗粒,鸡肉,18个月,10.40KG,￥338.8
