用户昵称,评分,内容,商品链接
m***1,5分,波奇拼团买的 太优惠了 自从有了波奇 中毒了 狗狗的吃喝住用 都是波奇选购 有保障 安全放心  ,https://shop.boqii.com/product-8242.html
美***️,5分,东西很好，价位非常合适，有淡淡的酵母味道，狗子不抗拒  ,https://shop.boqii.com/product-8242.html
m***0,5分,本以为狗狗会不吃这种药片型，但它吃得很开心。  ,https://shop.boqii.com/product-8242.html
m***7,5分,到货很快.隔天就到了.狗狗在外面乱吃东西希望吃这个会有改善  ,https://shop.boqii.com/product-8242.html
m***8,5分,微量元素收到了，东西很好，吃了微量元素看上去毛发好多了。吃完了再买。  ,https://shop.boqii.com/product-8242.html
m***4,5分,东西收到，完好无损，店家还赠送了刮刮卡，听说谷登牌的不错，还没开始吃，期待有好的效果  ,https://shop.boqii.com/product-8242.html
胖***猫,5分,暂时还没有打开过  因为家里没有狗狗  买错了 不过应该不错  ,https://shop.boqii.com/product-8242.html
m***5,5分,谷登产品一直都有买给狗狗吃，狗?非常起欢吃，好评。  ,https://shop.boqii.com/product-8242.html
大***腿,5分,宝贝收到就喂它吃了写好没有拒绝实用没有放在任何零食狗粮里哈哈哈很棒  ,https://shop.boqii.com/product-8242.html
m***6,5分,给狗狗买来补充一下微量元素 新人价格买的很划算  ,https://shop.boqii.com/product-8242.html
m***1,5分,非常划算，活动撸了好多，波奇遇上活动超划算  ,https://shop.boqii.com/product-8242.html
嘟***2,5分,闻着味道不错，看评论都都说狗狗爱吃为什么我家狗狗不吃，怎么办  ,https://shop.boqii.com/product-8242.html
黄***妮,5分,昨天定的   今天就到了  这速度   等猫咪吃了再追评  ,https://shop.boqii.com/product-8242.html
m***8,5分,价格便宜不过不算暖和哈哈哈哈哈哈哈哈哈就是可爱要自己垫绒毯  ,https://shop.boqii.com/product-8252.html
m***0,5分,猫窝挺好的，厚实暖和，一直相信波奇的品质，但是这次，发过来的猫窝上有一摊污渍，还有至少两个貌似被烫过的圆点，装猫窝的塑料袋上有好多灰尘，脏脏的，跟客服反映，客服很积极的解决问题，退回去重新发了一个，又少了塑料袋，就一个猫窝放在纸箱子里，幸亏没有下雨。之前基本买的都是吃的，体验很好，开了黑卡，这次让人失望，希望波奇能有所改善吧。  ,https://shop.boqii.com/product-8252.html
龙***苗,5分,买回家立马用上，猫猫一直睡里面，好！  ,https://shop.boqii.com/product-8252.html
m***2,5分,秒杀的很好价格便宜正品放心会经常光顾好好好好好  ,https://shop.boqii.com/product-8252.html
豆***妞,5分,秒杀的，正品，喜欢在这里买，东西很好。买很多次了。  ,https://shop.boqii.com/product-8252.html
m***3,5分,很好，很值，猫猫很好奇也很喜欢。还是大的好，猫猫可以在里面横着睡，并伸伸懒腰。  ,https://shop.boqii.com/product-8252.html
m***4,5分,有些味道，凉了一个晚上几乎就没有了，和图片一样，就是上面厚度偏薄一些！不过合适了！！！猫还没有进去，可能没有习惯！  ,https://shop.boqii.com/product-8252.html
水***咚,5分,不错不错，可惜小号没有粉色了，大小刚好放在篮子里，囤货  ,https://shop.boqii.com/product-8252.html
m***3,5分,默认好评  ,https://shop.boqii.com/product-8252.html
m***1,5分,默认好评  ,https://shop.boqii.com/product-8252.html
w***8,5分,默认好评  ,https://shop.boqii.com/product-8252.html
H***o,5分,默认好评  ,https://shop.boqii.com/product-8252.html
m***9,5分,默认好评  ,https://shop.boqii.com/product-8252.html
m***6,5分,这个小刷子的齿不会特别硬，用在狗子身上她不会特别疼，觉得还不错  ,https://shop.boqii.com/product-8340.html
单***男,5分,挺好用的，刷头能转方向怎么梳都顺手，第一把圆头都磨光了，第二把。  ,https://shop.boqii.com/product-8340.html
m***6,5分,十二块钱抢购的，钢针不是圆头的，是直接切的那种，梳我自己手背觉得有点疼，猫疼不疼不知道，而且梳子上的毛不好弄，得拿针挑出来，还是那种自己能推毛的梳子方便  ,https://shop.boqii.com/product-8340.html
渺***3,4分,波奇的仓库是被水泡了么，包装也是打开的，里面的梳子看样子没什么事儿。。。  ,https://shop.boqii.com/product-8340.html
m***7,5分,特别好用，买的时候心里面还忐忑不安，怕买不好，现在放心了，用的特别顺手，好评  ,https://shop.boqii.com/product-8340.html
m***3,5分,超级好用 钢丝是软的 能挠痒又不会弄疼宝宝  ,https://shop.boqii.com/product-8340.html
我***圈,5分,这次发货的速度很快 希望波奇一如既往的很好.宝贝很喜欢！  ,https://shop.boqii.com/product-8340.html
m***8,5分,默认好评  ,https://shop.boqii.com/product-8340.html
m***6,5分,默认好评  ,https://shop.boqii.com/product-8340.html
J***干,5分,默认好评  ,https://shop.boqii.com/product-8340.html
小***爱,5分,默认好评  ,https://shop.boqii.com/product-8340.html
m***9,5分,默认好评  ,https://shop.boqii.com/product-8340.html
m***6,5分,默认好评  ,https://shop.boqii.com/product-8340.html
m***7,5分,一直用这个梳子，挺好的。  ,https://shop.boqii.com/product-8341.html
断***咪,5分,历时11天，终于收到了，看上去挺不错的，才十几块钱，真心划算，就是今年的物流太坑人  ,https://shop.boqii.com/product-8341.html
状***2,5分,用了两次很好用，很方便，猫咪也还算比较配合，梳的应该还是蛮舒服的  ,https://shop.boqii.com/product-8341.html
m***8,5分,哇咔咔，收到了，本来是没有打算要买东西的，但是得到了好心人的券不用有点可惜，东西很精致，感觉梳起来比之前的要舒服的感觉，因为只花了七块钱所以很开心  ,https://shop.boqii.com/product-8341.html
爱***黍,5分,不错。按摩主子很舒服。还可以去浮毛  ,https://shop.boqii.com/product-8341.html
m***1,4分,东西收到，好用，就是比其他商城价格贵好多。  ,https://shop.boqii.com/product-8341.html
从***化,5分,梳子上的白嘎达掉了一些。物流不给力，不送到家，自己下楼取。  ,https://shop.boqii.com/product-8341.html
m***9,5分,默认好评  ,https://shop.boqii.com/product-8341.html
想***人,5分,默认好评  ,https://shop.boqii.com/product-8341.html
苏***白,5分,回购的  ,https://shop.boqii.com/product-8341.html
可*,5分,默认好评  ,https://shop.boqii.com/product-8341.html
m***2,5分,默认好评  ,https://shop.boqii.com/product-8341.html
m***5,5分,默认好评  ,https://shop.boqii.com/product-8341.html
m***5,5分,挺好用，随便刮刮就下来了。前面也软软的，也不会乱飞。就是不方便把毛弄下去。  ,https://shop.boqii.com/product-8342.html
m***5,5分,挺好用，随便刮刮就下来了。前面也软软的，也不会乱飞。就是不方便把毛弄下去。  ,https://shop.boqii.com/product-8342.html
m***1,5分,家中来了新成员买把小梳子挺好用木柄光滑用起来顺手等它长大再买把大的这牌子好用  ,https://shop.boqii.com/product-8342.html
q***g,5分,做工不错，使用时手感非常好。梳毛效果很好。值得购买。  ,https://shop.boqii.com/product-8342.html
m***7,5分,蛮好的，但按提示买小了  ,https://shop.boqii.com/product-8342.html
李***甜,5分,挺好的，该猫咪用大小刚刚好。能梳掉不少浮毛  ,https://shop.boqii.com/product-8342.html
挑***狗,5分,梳子挺好的，对得起这个价格，狗子梳着一动不动  ,https://shop.boqii.com/product-8342.html
m***5,5分,很快，一直来购买的，希望有更多实惠商品哦！  ,https://shop.boqii.com/product-8342.html
m***6,5分,密度够 就是比预想的小好多  正好给小狗用  ,https://shop.boqii.com/product-8342.html
瓶***哥,5分,很好用！小号梳腿，中号梳身体，质量也很好！  ,https://shop.boqii.com/product-8342.html
m***1,5分,波奇买的，小宝  ,https://shop.boqii.com/product-8342.html
黑***2,5分,好喜欢啊！用的很好！  ,https://shop.boqii.com/product-8342.html
m***9,5分,东西很好，但是自己买小了，狗狗用不了只能梳下腿上的  ,https://shop.boqii.com/product-8342.html
m***8,5分,梳子做工好，但是个人觉得不适合细软长毛狗狗。  ,https://shop.boqii.com/product-8343.html
m***7,5分,哎，一言难尽，质量倒是不错，但是太小了。。。我家是玩具体泰迪和柯基，是小型犬吧？我也没仔细看就买了个小型犬用的。。。结果。。。你们看图吧。。。买来梳胡子的？？？  ,https://shop.boqii.com/product-8343.html
M***程,5分,這個梳子就是有點小，不過適合我的小貴賓，很好！！外形也好看  ,https://shop.boqii.com/product-8343.html
m***5,5分,终于收到我需要的宝贝了，东西很好，价美物，态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，收到的时候包装完整，猫猫很喜欢  ,https://shop.boqii.com/product-8343.html
金***悠,5分,大小合适。非常实用。不伤狗狗。就是用完以后。清理梳子里的毛发比较难弄。总体来说还是可以的  ,https://shop.boqii.com/product-8343.html
J***y,5分,东西不错 梳毛很舒服 价格实惠 好评哈哈哈哈  ,https://shop.boqii.com/product-8343.html
y***u,5分,很好用，狗狗喜欢，感觉舒服。  ,https://shop.boqii.com/product-8343.html
永***梦,5分,以前买过，用得很顺手。一年换一次新的  ,https://shop.boqii.com/product-8343.html
妮***1,5分,挺好的、就是这个尺寸好小啊、还好我家是猫咪  ,https://shop.boqii.com/product-8343.html
妹***举,5分,很好用，就是自己买小了，不疼，宝宝很喜欢让梳毛。。。。。。。。  ,https://shop.boqii.com/product-8343.html
酪***子,5分,小小的一个，给小猫用很好，小猫用着很享受，是木头柄  ,https://shop.boqii.com/product-8343.html
m***4,5分,买小了，质量不错，刺尖有保护所以不用担心用力过猛拉痛狗宝，又能给皮肤适当的按摩  ,https://shop.boqii.com/product-8343.html
糖***5,5分,小梳子不错，家里有一把克家的梳细节 不行，这把很实用，价格 也便宜  ,https://shop.boqii.com/product-8343.html
六***崽,5分,还没用呢，看着挺不错  ,https://shop.boqii.com/product-8344.html
随***变,5分,我猫三个月，这个梳子买来以后用的，现在还没开始掉毛，能梳下一些绒毛，我感觉挺好使的  ,https://shop.boqii.com/product-8344.html
m***8,5分,默认好评  ,https://shop.boqii.com/product-8344.html
挑***狗,5分,默认好评  ,https://shop.boqii.com/product-8344.html
糖***袋,5分,默认好评  ,https://shop.boqii.com/product-8344.html
月***.,5分,默认好评  ,https://shop.boqii.com/product-8344.html
m***0,5分,默认好评  ,https://shop.boqii.com/product-8344.html
m***0,5分,默认好评  ,https://shop.boqii.com/product-8344.html
m***0,5分,默认好评  ,https://shop.boqii.com/product-8344.html
m***0,5分,默认好评  ,https://shop.boqii.com/product-8344.html
m***3,5分,好  ,https://shop.boqii.com/product-8344.html
m***1,5分,默认好评  ,https://shop.boqii.com/product-8344.html
m***9,5分,默认好评  ,https://shop.boqii.com/product-8344.html
莜***蓓,5分,手感不错，给我家猫刷毛它挺愿意的。把柄手感也很舒服，非常顺手  ,https://shop.boqii.com/product-8345.html
m***4,5分,便宜，好用，狗子一点也不抗拒，掉毛季刚需必备  ,https://shop.boqii.com/product-8345.html
皮***啊,5分,好用是挺很好用的 但就不知道怎么办啊那些毛完整的从梳子里清理干净 有点麻烦  ,https://shop.boqii.com/product-8345.html
咪***宠,5分,真的很好，质量超级好，价钱不贵，支持波奇商城，以后会经常光顾的  ,https://shop.boqii.com/product-8345.html
安***y,5分,我家的猫咪其实不太爱梳毛，不过这款一收到就试着梳了梳，感觉比起之前用的顺手很多  ,https://shop.boqii.com/product-8345.html
仙***5,5分,"如果你看到我的这条评论 这个东西是值得购买的质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物  ",https://shop.boqii.com/product-8345.html
奶***喵,5分,很舒服，但是我家俩猫都没梳下来毛毛，但是我用在头发上，感觉不错  ,https://shop.boqii.com/product-8345.html
金***e,5分,发现一排针尖有圆珠，一排针尖上没圆珠的。不是每排都有，以前买的针尖上都有圆珠不过不是一个牌子。针尖长度适合短毛犬。买时没看清详情。牌子、包装、质量还是很好的。给好评。  ,https://shop.boqii.com/product-8345.html
m***3,5分,这？！一：;…。是啊？你要我去你家吃饭没有！一切就会要好看了！这样  ,https://shop.boqii.com/product-8345.html
我***儿,5分,一般吧，我家柯基就是给它俩的按摩梳  ,https://shop.boqii.com/product-8345.html
G***活,5分,秒杀的我觉得不错，狗狗也不反感，脱毛期很适合  ,https://shop.boqii.com/product-8345.html
周***壮,5分,不错不错不错不错不错不错  ,https://shop.boqii.com/product-8345.html
秦***贝,5分,梳子一如既往的好用，以前的都用了五年了  ,https://shop.boqii.com/product-8345.html
m***6,5分,还可以还不错还可以还不错，用完也没看出来啥效果  ,https://shop.boqii.com/product-8400.html
养***富,5分,具体我会慢慢分享在文章和测评，谢谢大家关注  ,https://shop.boqii.com/product-8400.html
m***果,5分,新来的布偶耳朵有点脏，给它擦了下耳朵，挺好用的  ,https://shop.boqii.com/product-8400.html
咪***宠,5分,波奇网购物就是放心，物流送货真的很快就到了，赞?  ,https://shop.boqii.com/product-8400.html
六*,5分,波奇这次周年庆活动太大了，赶紧给狗子屯点平常不舍得买的好吃的  ,https://shop.boqii.com/product-8400.html
布***哒,5分,给我家宝备着，活动价格很美好！包装很好！嘿嘿！希望波奇越来越好！  ,https://shop.boqii.com/product-8400.html
m***0,5分,金盾品质还是可以信赖的，而且是宠物医生推荐的。一小瓶足够我用了。  ,https://shop.boqii.com/product-8400.html
你***a,5分,挺好的，用了几天了，效果很好，耳朵干净了很多，好  ,https://shop.boqii.com/product-8400.html
m***1,5分,收货很快，物美价廉，非常好用，家里常备药品，很喜欢  ,https://shop.boqii.com/product-8400.html
m***0,5分,好用，好用，非常好用啊  ,https://shop.boqii.com/product-8400.html
壳*,5分,好用。家中常备的滴耳液。宠物医生也推荐的。波奇秒杀的好便宜  ,https://shop.boqii.com/product-8400.html
秦***贝,5分,放在那还没用，不晓得好不好，等有机会再用吧  ,https://shop.boqii.com/product-8400.html
m***0,5分,狗狗耳朵经常发炎，这次又真菌感染了，用了这个滴耳液三天就好的差不多了，再坚持用两天就会全好，唯一缺点就是计量太少。  ,https://shop.boqii.com/product-8400.html
美*,5分,大小刚刚好，材质看着也很结实，最重要的是不像那种棉的窝时间长了就得洗，这个方便多了，直接用水刷就行了  ,https://shop.boqii.com/product-8573.html
z***f,5分,中号的，家里六斤的泰迪，睡着正好，随意睡，怎么舒服就怎么睡，四肢伸展不碰壁。家里的小黑皮也抢着睡，还得买一个，要不就得打架斗殴了……  ,https://shop.boqii.com/product-8573.html
m***7,5分,坐着还行，睡着太小，得蜷起身来睡，腿也伸不直，买太小了。毛孩7斤，小号太小，估计得中号。  ,https://shop.boqii.com/product-8573.html
花***i,5分,完全没有任何异味，用的放心(•̀ᴗ•́)و ̑̑  ,https://shop.boqii.com/product-8573.html
哆***7,5分,两崽子当成大型磨牙棒了。。看我不在就啃啃啃。。。  ,https://shop.boqii.com/product-8573.html
m***3,5分,哇，质量太好了吧，比自己的碗都要好，颜色明亮好看，不锈钢也都是全新的。小狗下个月才到家，先给它准备个饭碗，没想到比自己用的还漂亮，这个价确实值了！快递也给力，发货隔天就到了，等收到优惠券要继续下单~  ,https://shop.boqii.com/product-8573.html
C***r,5分,一直相信波奇网，快递很给力。塑料盆看着挺结实，就等小家伙的到来了。  ,https://shop.boqii.com/product-8573.html
短***肠,5分,很大一个，质量很好，给狗狗生小狗用。  ,https://shop.boqii.com/product-8573.html
m***4,5分,狗子对盆儿特别满意，睡起来很有安全感的样子  ,https://shop.boqii.com/product-8573.html
m***6,5分,好，但是我家柯基不能伸展……可能因为它长吧  ,https://shop.boqii.com/product-8573.html
m***4,5分,我家多多17斤，买的大号正好，因为是中华田园犬掉毛厉害，一年扔一个窝，以后就不怕了，只要换垫子就行了，宝贝一点味道都没有是优质塑料，底部有透气孔不怕垫子会潮湿，太棒了  ,https://shop.boqii.com/product-8573.html
m***8,5分,很实用，洗澡睡觉两用，洗澡的时候可以隔离毛，这样就不会洗的一地毛了。  ,https://shop.boqii.com/product-8573.html
安***族,5分,想买这个窝很久了，挺好的，垫子可以勤换，容易清洁  ,https://shop.boqii.com/product-8573.html
H*,5分,很小的一个盆，给狗狗放奶喝，不太好清洗，容易滑动  ,https://shop.boqii.com/product-8578.html
一***豆,5分,碗很好用，给猫用刚刚好，给狗用的话只能给小型狗狗用  ,https://shop.boqii.com/product-8578.html
游***間,5分,"波奇周年庆活动买了两个,很结实而且防滑垫设计,很适合小型犬和猫咪的一款.我家拉布拉多拿这个小号碗吃零食也是一点问题没有  ",https://shop.boqii.com/product-8578.html
游***間,5分,"波奇周年庆活动买了两个,很结实而且防滑垫设计,很适合小型犬和猫咪的一款.我家拉布拉多拿这个小号碗吃零食也是一点问题没有  ",https://shop.boqii.com/product-8578.html
雨,5分,碗的质量不错，给三个小家伙带回老家用，一年用几天，刚好轻便好带……  ,https://shop.boqii.com/product-8578.html
雨,5分,买的多用的多，还好有猫有狗，不然又要浪费，每个老家各放一套，完美  ,https://shop.boqii.com/product-8578.html
雨,5分,买好多，感觉停不下来，质量可以，回老家用刚好……  ,https://shop.boqii.com/product-8578.html
雨,5分,一次性买了很多，毕竟大户人家……有猫有狗……主要是波奇活动给力  ,https://shop.boqii.com/product-8578.html
雨,5分,一次性买的有点多，遇到活动总是把持不住自己……  ,https://shop.boqii.com/product-8578.html
长***猫,5分,很大一个碗 还有防滑底 价格好便宜 值得购买  ,https://shop.boqii.com/product-8578.html
超***曼,5分,超级棒，狗子应该会很喜欢，物流也很快，还会回购的，赞一个  ,https://shop.boqii.com/product-8578.html
超***曼,5分,超级棒，狗子应该会很喜欢，物流也很快，还会回购的，赞一个  ,https://shop.boqii.com/product-8578.html
琪***琪,5分,碗挺好的，虽然说是小号的，但是碗还是挺大的。  ,https://shop.boqii.com/product-8578.html
飞***菲,5分,买的大号，很大～狗狗估计可以吃几天了哈哈哈哈哈～满意满意  ,https://shop.boqii.com/product-8583.html
m***1,5分,还没有用，狗狗小胆，不敢碰。不过对于博美来说挺大的。  ,https://shop.boqii.com/product-8583.html
m***6,5分,活动价抢的真的超值了！给家里毛孩囤着，我爱波奇♡  ,https://shop.boqii.com/product-8583.html
飞***菲,5分,不错.有点问题.客服也帮忙解决了  ,https://shop.boqii.com/product-8583.html
飞***菲,5分,还是不错的～自动喂食比较方便  ,https://shop.boqii.com/product-8583.html
m***0,5分,很好很好很好~这样方便了好多~再也不用担心我家主子饿了  ,https://shop.boqii.com/product-8583.html
m***6,5分,物流超快，这么大应该能撑一个星期吧  ,https://shop.boqii.com/product-8583.html
漫***花,5分,还可以，现在也还在用，就是狗把上面的桶给咬烂了  ,https://shop.boqii.com/product-8583.html
m***4,5分,默认好评  ,https://shop.boqii.com/product-8583.html
m***6,5分,默认好评  ,https://shop.boqii.com/product-8583.html
随***3,5分,好，很好，非常好  ,https://shop.boqii.com/product-8583.html
m***7,5分,默认好评  ,https://shop.boqii.com/product-8583.html
m***7,5分,可以，实惠  ,https://shop.boqii.com/product-8583.html
小***球,5分,特别好，狗狗很喜欢，再也不用担心狗狗渴着了。  ,https://shop.boqii.com/product-8584.html
m***0,5分,和图片的一样，我家狗狗多，用这个不用总给狗狗加水了，很实用，很好用。  ,https://shop.boqii.com/product-8584.html
羊***狗,5分,如果瓶底有个盖子打开直接加水就好了，一瓶水加满倒过去2/3都没了  ,https://shop.boqii.com/product-8584.html
狼***。,4分,看评论说上面贴纸皱皱的像二手货，收到后确实贴纸皱皱的，怀疑产品质量，再来说加水这方面，非常不方便，根本不能把桶里装满，装多了没法往下扣到水盆上，全倒出来了，桶口应该要加个盖子的，不然怎么灌水？怎么反扣在水盆上？  ,https://shop.boqii.com/product-8584.html
漫***花,5分,还可以，挺大的！这热天就不用担心它的水不够用了  ,https://shop.boqii.com/product-8584.html
m***5,4分,看着感觉是二手货，标签多皱了；而且东西还没外包装、说明书，是不是买到三无产品了  ,https://shop.boqii.com/product-8584.html
m***2,5分,好是好，不封口不好，没发用。我现在喂食用。  ,https://shop.boqii.com/product-8584.html
皮***官,5分,1.5L的也太大了，适合大狗用，小狗平时用不上  ,https://shop.boqii.com/product-8584.html
m***4,5分,一般般，对小狗来说太大了，上面的桶基本没用  ,https://shop.boqii.com/product-8584.html
w***儿,5分,经济实惠，比我去超市买划算多了，狗狗也很爱吃，五分好评  ,https://shop.boqii.com/product-8584.html
m***8,5分,默认好评  ,https://shop.boqii.com/product-8584.html
多***1,5分,简单易用，多多喝水超级方便，喜欢~  ,https://shop.boqii.com/product-8584.html
a***仔,5分,换水有点困难  ,https://shop.boqii.com/product-8584.html
m***4,5分,还可以的没有看，备用的\n哈哈哈哈哈哈哈哈  ,https://shop.boqii.com/product-8591.html
嘟***仔,5分,之前买过很好，碰到秒杀活动又买了一个，性价比很高。  ,https://shop.boqii.com/product-8591.html
豆***2,5分,非常的喜欢，还送了一个特别大的铲子，，非常奈斯  ,https://shop.boqii.com/product-8591.html
嘟***仔,5分,一开始拿出来，猫咪都拿它当窝了，进去玩赖着不出来，放上猫砂都很喜欢进去拉，包括我家两只四十三天的小奶猫。猫砂盆很大，质量很好。猫咪排队如厕中。  ,https://shop.boqii.com/product-8591.html
m***6,5分,猫砂盆超大 而且用了之后真的没有臭味了 一万个赞 比爱丽丝便宜太多了 质量也不错 拿回来猫猫就会用  ,https://shop.boqii.com/product-8591.html
是***吖,5分,空间很大 材质也很好 还没放猫砂 猫maoq就自己去进去玩耍了一会 空间真的是很大  ,https://shop.boqii.com/product-8591.html
m***6,5分,快递包装很好，到了一点都没坏，猫砂盆还挺大的，建议买方顶的，个人感觉比圆顶的好点，就是买十一个都没送一个猫砂铲…  ,https://shop.boqii.com/product-8591.html
m***6,5分,快递包装很好，到了一点都没坏，猫砂盆还挺大的，建议买方顶的，个人感觉比圆顶的好点，就是买十一个都没送一个猫砂铲…  ,https://shop.boqii.com/product-8591.html
m***6,5分,快递包装很好，到了一点都没坏，猫砂盆还挺大的，建议买方顶的，个人感觉比圆顶的好点，就是买十一个都没送一个猫砂铲…  ,https://shop.boqii.com/product-8591.html
m***3,5分,非常不错，第二次购买了，家里猫多，多买几个  ,https://shop.boqii.com/product-8591.html
铲***刘,5分,不错！密闭性很好，很大，都不用引导换沙盆，直接就进去了  ,https://shop.boqii.com/product-8591.html
m***0,5分,物美价廉，还送了超大号猫砂铲，厕所也足够大  ,https://shop.boqii.com/product-8591.html
m***1,5分,非常好。款式漂亮。造型可爱。猫咪会用。  ,https://shop.boqii.com/product-8591.html
豆***鸭,5分,宝贝收到了，非常好！非常划算，狗子可喜欢了，给我爱吃的喜之郎果冻。  ,https://shop.boqii.com/product-8598.html
彩***月,5分,宝贝收到了，感觉很专业的样子，还没用，用过了再来追加  ,https://shop.boqii.com/product-8598.html
蜡***爸,5分,这款狗粮真的很棒哦，这是我第三次购买了，哈哈哈，真的物超所值！  ,https://shop.boqii.com/product-8598.html
m***9,5分,非常好，我也现在完全是被两只狗狗俘虏了，超爱我家的两个小雪  ,https://shop.boqii.com/product-8598.html
寒***刀,5分,声音还OK，需要多多练习，好用不好用还是看狗看主人  ,https://shop.boqii.com/product-8598.html
黑***嘿,5分,一元秒杀，不过狗子对它好像没什么反应，呵呵哒。  ,https://shop.boqii.com/product-8598.html
没***巴,5分,还没用 看着还不错 就是可能压箱底太久了有一些脏东西卡在包装里  ,https://shop.boqii.com/product-8598.html
m***8,5分,可能是小宝贝还不习惯吧，我一吹，它就眨巴着小眼睛看着你，那个傻样真是醉了。  ,https://shop.boqii.com/product-8598.html
冒***卫,5分,响声很大，但是小狗还没发开始训练，过段时间使用  ,https://shop.boqii.com/product-8598.html
a***8,5分,easy to use. nice sound  ,https://shop.boqii.com/product-8598.html
麦***乖,5分,默认好评  ,https://shop.boqii.com/product-8598.html
m***4,5分,不错  ,https://shop.boqii.com/product-8598.html
m***4,5分,默认好评  ,https://shop.boqii.com/product-8598.html
兮***活,5分,我反正就要买这个按扣的  那种粘粘的脖套粘久了就不粘了   我家猫总是能搞掉它 想着买这个按扣的  按扣的都有点难按 但是不会被挣脱掉  ,https://shop.boqii.com/product-8599.html
哎***肉,5分,我家博美5个半月 6.6斤 选M码超合适 而且还有宽余 就算再胖点也没问题 给各位铲屎官个参考  ,https://shop.boqii.com/product-8599.html
天***海,5分,还是很好(✪▽✪)，满意，唯独我感觉给我家泰迪戴小了点，嘴都齐边缘了。然后就是这个保护膜在运输中损坏擦伤了一点  ,https://shop.boqii.com/product-8599.html
m***6,5分,这是我用过最难套的伊丽莎白圈 按的我手都在痛  ,https://shop.boqii.com/product-8599.html
王***申,5分,包装结实，日期新鲜，物流迅速， 品质一流。波奇从来没有让我失望过！  ,https://shop.boqii.com/product-8599.html
王***申,5分,包转结实，日期新鲜，物流迅速，品质一流！波奇从来没有让我失望过！  ,https://shop.boqii.com/product-8599.html
王***申,5分,包转结实，日期新鲜，物流迅速，品质一流！波奇从来没有让我失望过！  ,https://shop.boqii.com/product-8599.html
小***3,5分,要扣第二个格，第一次扣真的太难了，我的天。。。手到现在还疼。。。。其实我更想要个彩色。。。  ,https://shop.boqii.com/product-8599.html
m***6,5分,真心不错呦，已经回购，一直信赖！  ,https://shop.boqii.com/product-8599.html
m***6,5分,真心不错呦，已经回购，一直信赖！  ,https://shop.boqii.com/product-8599.html
m***6,5分,真心不错呦，已经回购，一直信赖！  ,https://shop.boqii.com/product-8599.html
马***嗷,5分,质量很好，很大一个，比想象的大多了  ,https://shop.boqii.com/product-8599.html
药***货,5分,不错，很大，感觉买大了，不过质量很好，很满意。  ,https://shop.boqii.com/product-8599.html
小***黑,5分,这滚毛器我就是喜欢，再多的毛一滚就沒了，用起来特方便，家里再多毛一滚而去哈。  ,https://shop.boqii.com/product-8601.html
小***黑,5分,每天刷一刷简单又方便，而且刷的比较干净，毛被一扫而光。  ,https://shop.boqii.com/product-8601.html
小***黑,5分,买了六个中恒大粘毛器，很好用，一刷就干净。√，  ,https://shop.boqii.com/product-8601.html
新***岁,5分,超喜欢的！活动的时候买的，很喜欢！！想再买！！哈哈哈  ,https://shop.boqii.com/product-8601.html
雾***4,5分,养狗狗衣服难免有狗毛，用这个粘一下滚一滚毛就掉了  ,https://shop.boqii.com/product-8601.html
m***2,5分,秒杀的，产品质量很好，物超所值，物流很快。  ,https://shop.boqii.com/product-8601.html
m***9,5分,看上去还不错，还没用，size比我之前买的要大个一点  ,https://shop.boqii.com/product-8601.html
小***桐,5分,治标先治本，在猫身上滚动粘毛器，效果极佳！  ,https://shop.boqii.com/product-8601.html
拉***豆,5分,值了，反正在那买都是一样的，而且这么厚实  ,https://shop.boqii.com/product-8601.html
y***7,5分,冬天到了，狗狗也要换毛了，再也不用担心一身狗毛了  ,https://shop.boqii.com/product-8601.html
w***4,5分,不错  ,https://shop.boqii.com/product-8601.html
m***2,5分,好用，马上滚走身上所以猫毛  ,https://shop.boqii.com/product-8601.html
m***6,5分,祛毛很好用的  ,https://shop.boqii.com/product-8601.html
三***妈,5分,买的五连包，但是一开始只发了一包，客服很赞，及时处理，把剩余的给补发了  ,https://shop.boqii.com/product-8602.html
北***喵,5分,默认好评  ,https://shop.boqii.com/product-8602.html
x***1,5分,默认好评  ,https://shop.boqii.com/product-8602.html
一***猫,5分,还是不错的 袋子很结实  ,https://shop.boqii.com/product-8602.html
柚***屁,5分,这次买的99十样 比较划算 都很好  ,https://shop.boqii.com/product-8602.html
-***-,5分,好  ,https://shop.boqii.com/product-8602.html
我***鱼,5分,必须用这个，不然觉得盆子太脏  ,https://shop.boqii.com/product-8602.html
是***呀,5分,很大一个，很牢的很厚实的袋子  ,https://shop.boqii.com/product-8602.html
j***u,5分,还没用，但是感觉卫生一些！  ,https://shop.boqii.com/product-8602.html
尚***5,5分,铲屎神器，希望效果不错  ,https://shop.boqii.com/product-8602.html
妙***爷,5分,东西很好，不担心主子把尿撒到猫砂盆底了  ,https://shop.boqii.com/product-8602.html
m***2,5分,质量很好，使用方便，值得购买。  ,https://shop.boqii.com/product-8602.html
黑***嘿,5分,一元秒杀  ,https://shop.boqii.com/product-8602.html
寒***秋,5分,看起来不错，包装得也好好的，希望确实可降解。  ,https://shop.boqii.com/product-8605.html
